"","filename","text"
"1","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","amherst"
"2","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","college"
"3","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","demands"
"4","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","president"
"5","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","martin"
"6","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","issue"
"7","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","statement"
"8","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","apology"
"9","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","students"
"10","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","alumni"
"11","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","students"
"12","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","faculty"
"13","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","administration"
"14","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","staff"
"15","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","victims"
"16","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","injustices"
"17","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","including"
"18","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","limited"
"19","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","institutional"
"20","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","legacy"
"21","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","white"
"22","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","supremacy"
"23","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","colonialism"
"24","/Users/cromanpa/MEGAsync/Packages/MacMini/D-Letters_16-20/Data/2016/Amherst College .pdf","anti"
